ID,Source spreadsheet row,Source agency,Display name,Agency type,State,City used,Latitude,Longitude,Location method,Confidence,Census place,Coordinate source,Included in map
80,88,Arcata Police Department (CA),Arcata Police Department,Police,California,Arcata,40.862291,-124.074967,Agency-name city match,High,Arcata city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
81,89,Arizona Attorney General (AZ),Arizona Attorney General,Other,Arizona,Phoenix,33.572154,-112.090132,Manual headquarters/office city,Medium,Phoenix city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
82,90,Arizona Attorney General (Security Detail) (AZ),Arizona Attorney General (Security Detail),State,Arizona,Phoenix,33.572154,-112.090132,Manual headquarters/office city,Medium,Phoenix city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
83,91,Arizona Department of Public Safety,Arizona Department of Public Safety,State Police,Arizona,Phoenix,33.572154,-112.090132,Manual headquarters/office city,Medium,Phoenix city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
84,92,Arizona Game and Fish Department (AZ),Arizona Game and Fish Department,State,Arizona,Phoenix,33.572154,-112.090132,Manual headquarters/office city,Medium,Phoenix city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
85,93,ATF National Account,ATF National Account,Federal,District of Columbia,Washington,38.904247,-77.016517,Manual headquarters/office city,Medium,Washington city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
86,94,Avondale Police Department (AZ),Avondale Police Department,Police,Arizona,Avondale,33.313236,-112.328928,Agency-name city match,High,Avondale city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
87,95,AZ HIDTA Investigation Support Center,AZ HIDTA Investigation Support Center,Federal,Arizona,Phoenix,33.572154,-112.090132,Manual headquarters/office city,Medium,Phoenix city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
88,96,Azusa Police Department (CA),Azusa Police Department,Police,California,Azusa,34.138524,-117.912253,Agency-name city match,High,Azusa city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
89,97,Bay Area Rapid Transit Police (CA),Bay Area Rapid Transit Police,Police,California,Oakland,37.769846,-122.22569,Manual headquarters/office city,Medium,Oakland city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
90,98,Benson Police Department (AZ),Benson Police Department,Police,Arizona,Benson,31.914497,-110.328552,Agency-name city match,High,Benson city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
91,99,Beverly Hills Police Department,Beverly Hills Police Department,Police,California,Beverly Hills,34.07923,-118.402437,Agency-name city match,High,Beverly Hills city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
92,100,Black Butte Ranch Police Department (OR),Black Butte Ranch Police Department,Police,Oregon,Black Butte Ranch,44.364176,-121.668579,Manual headquarters/office city,Medium,Black Butte Ranch CDP,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
93,101,Buckeye Police Department (AZ),Buckeye Police Department,Police,Arizona,Buckeye,33.431573,-112.641626,Agency-name city match,High,Buckeye city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
94,102,Buena Park Police Department,Buena Park Police Department,Police,California,Buena Park,33.857353,-118.007373,Agency-name city match,High,Buena Park city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
95,103,Bullhead City Police Department (AZ),Bullhead City Police Department,Police,Arizona,Bullhead City,35.127371,-114.55599,Agency-name city match,High,Bullhead City city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
96,104,Burbank Police Department (CA),Burbank Police Department,Police,California,Burbank,34.190079,-118.326405,Agency-name city match,High,Burbank city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
97,105,Butte County Sheriffs Department (CA),Butte County Sheriffs Department,Sheriff,California,Oroville,39.495423,-121.560069,County seat / headquarters city,High,Oroville city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
98,106,CAL FIRE,CAL FIRE,Police,California,Sacramento,38.567694,-121.468161,Manual headquarters/office city,Medium,Sacramento city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
99,107,California Department of Toxic Substances Control (CA),California Department of Toxic Substances Control,State,California,Sacramento,38.567694,-121.468161,Manual headquarters/office city,Medium,Sacramento city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
100,108,California Franchise Tax Board (CA),California Franchise Tax Board,State,California,Sacramento,38.567694,-121.468161,Manual headquarters/office city,Medium,Sacramento city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
101,109,California Highway Patrol (CA),California Highway Patrol,Police,California,Sacramento,38.567694,-121.468161,Manual headquarters/office city,Medium,Sacramento city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
102,110,California State Lottery (CA),California State Lottery,State,California,Sacramento,38.567694,-121.468161,Manual headquarters/office city,Medium,Sacramento city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
103,111,Carson City Sheriffs Dept,Carson City Sheriffs Dept,Police,Nevada,Carson City,39.15306,-119.747368,Manual headquarters/office city,Medium,Carson City,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
104,112,Cathedral City Police Department,Cathedral City Police Department,Police,California,Cathedral City,33.835487,-116.463103,Agency-name city match,High,Cathedral City city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
105,113,Central Oregon Drug Enforcement (OR),Central Oregon Drug Enforcement,Sheriff,Oregon,Bend,44.056683,-121.307991,Manual headquarters/office city,Medium,Bend city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
106,114,Chino Police Department,Chino Police Department,Police,California,Chino,33.978037,-117.657719,Agency-name city match,High,Chino city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
107,115,City of Reno,City of Reno,Police,Nevada,Reno,39.549097,-119.849907,Manual headquarters/office city,Medium,Reno city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
108,116,Clark County District Attorneys Office (NV),Clark County District Attorneys Office,Other,Nevada,Las Vegas,36.233499,-115.264037,County seat / headquarters city,High,Las Vegas city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
109,117,Clovis Police Department,Clovis Police Department,Police,California,Clovis,36.827809,-119.681843,Agency-name city match,High,Clovis city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
110,118,Cochise County Sheriffs Office (AZ),Cochise County Sheriffs Office,Sheriff,Arizona,Bisbee,31.398036,-109.931834,County seat / headquarters city,High,Bisbee city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
111,119,Contra Costa County Sheriffs,Contra Costa County Sheriffs,Sheriff,California,Martinez,37.998116,-122.114419,County seat / headquarters city,High,Martinez city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
112,120,Coolidge Police Department (AZ),Coolidge Police Department,Police,Arizona,Coolidge,32.933616,-111.523585,Agency-name city match,High,Coolidge city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
113,121,Corona Police Department,Corona Police Department,Police,California,Corona,33.861969,-117.565495,Agency-name city match,High,Corona city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
114,122,Costa Mesa Police Department,Costa Mesa Police Department,Police,California,Costa Mesa,33.665905,-117.912336,Agency-name city match,High,Costa Mesa city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
115,123,County of San Mateo Sheriffs Office,County of San Mateo Sheriffs Office,Sheriff,California,Redwood City,37.515274,-122.213672,County seat / headquarters city,High,Redwood City city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
116,124,Cypress Police Department,Cypress Police Department,Police,California,Cypress,33.818477,-118.038307,Agency-name city match,High,Cypress city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
117,125,Danville Police Department CA,Danville Police Department,Police,California,Danville,37.812142,-121.969824,Agency-name city match,High,Danville town,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
118,126,Department of Transportation - Phoenix (AZ),Department of Transportation - Phoenix,State,Arizona,Phoenix,33.572154,-112.090132,Manual headquarters/office city,Medium,Phoenix city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
119,127,Department of Veterans Affairs - Office of Inspector General,Department of Veterans Affairs - Office of Inspector General,Federal,District of Columbia,Washington,38.904247,-77.016517,Manual headquarters/office city,Medium,Washington city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
120,128,Department of Veterans Affairs Police,Department of Veterans Affairs Police,Federal,District of Columbia,Washington,38.904247,-77.016517,Manual headquarters/office city,Medium,Washington city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
121,129,Deschutes County Sheriffs Office (OR),Deschutes County Sheriffs Office,Sheriff,Oregon,Bend,44.056683,-121.307991,County seat / headquarters city,High,Bend city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
122,130,DOJ Criminal Division,DOJ Criminal Division,Federal,District of Columbia,Washington,38.904247,-77.016517,Manual headquarters/office city,Medium,Washington city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
123,131,Douglas County Sheriff (NV),Douglas County Sheriff,Sheriff,Nevada,Minden,38.964576,-119.766621,County seat / headquarters city,High,Minden CDP,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
124,132,Downey Police Department,Downey Police Department,Police,California,Downey,33.938237,-118.130856,Agency-name city match,High,Downey city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
125,133,Drug Enforcement Administration (NATL),Drug Enforcement Administration (NATL),Federal,District of Columbia,Washington,38.904247,-77.016517,Manual headquarters/office city,Medium,Washington city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
126,134,Dublin Police Department CA,Dublin Police Department,Police,California,Dublin,37.716137,-121.896229,Agency-name city match,High,Dublin city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
127,135,El Dorado County District Attorneys Office (CA),El Dorado County District Attorneys Office,Other,California,Placerville,38.731116,-120.797677,County seat / headquarters city,High,Placerville city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
128,136,El Mirage Police Department (AZ),El Mirage Police Department,Police,Arizona,El Mirage,33.590224,-112.327102,Agency-name city match,High,El Mirage city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
129,137,El Segundo Police Department (CA),El Segundo Police Department,Police,California,El Segundo,33.910367,-118.425079,Agency-name city match,High,El Segundo city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
130,138,Eloy Police Department (AZ),Eloy Police Department,Police,Arizona,Eloy,32.741255,-111.594015,Agency-name city match,High,Eloy city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
131,139,Federal Protective Service (FPS) (DC),Federal Protective Service (FPS),Federal,District of Columbia,Washington,38.904247,-77.016517,Manual headquarters/office city,Medium,Washington city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
132,140,Florence Police Department (AZ),Florence Police Department,Police,Arizona,Florence,33.069367,-111.413992,Agency-name city match,High,Florence town,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
133,141,Fontana Police Department,Fontana Police Department,Police,California,Fontana,34.109686,-117.462888,Agency-name city match,High,Fontana city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
134,142,Fort Mohave Tribal Police Department (AZ),Fort Mohave Tribal Police Department,Police,Arizona,Mohave Valley,34.902431,-114.571389,Manual headquarters/office city,Medium,Mohave Valley CDP,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
135,143,Fountain Valley Police Department,Fountain Valley Police Department,Police,California,Fountain Valley,33.710582,-117.951129,Agency-name city match,High,Fountain Valley city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
136,144,FREDONIA POLICE DEPARTMENT (AZ),FREDONIA POLICE DEPARTMENT,Police,Arizona,FREDONIA,36.961626,-112.516363,Agency-name city match,High,Fredonia town,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
137,145,Freeway Safety Network - EAST BAY,Freeway Safety Network - EAST BAY,Police,California,Oakland,37.769846,-122.22569,Manual headquarters/office city,Medium,Oakland city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
138,146,Fresno County Sheriffs Office (CA),Fresno County Sheriffs Office,Sheriff,California,Fresno,36.782684,-119.793359,County seat / headquarters city,High,Fresno city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
139,147,Fullerton Police Department,Fullerton Police Department,Police,California,Fullerton,33.885716,-117.928025,Agency-name city match,High,Fullerton city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
140,148,Gila County Sheriffs Office (AZ),Gila County Sheriffs Office,Sheriff,Arizona,Globe,33.393642,-110.741106,County seat / headquarters city,High,Globe city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
141,149,Glendale Community College Police Department (AZ),Glendale Community College Police Department,Other,Arizona,Glendale,33.533111,-112.189901,Manual headquarters/office city,Medium,Glendale city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
